	Appetizer			
	Spring Roll		28,000	
	Chicken Tasauk		55,000	
	Beef Tasauk		65,000	
	Lamb Kebab		60,000	
	Chicken Kebab		50,000	
	Chicken Rollade With Manchurian Sauce		50,000	https://drive.google.com/file/d/1ohkdQkoObAe38MS_vBidVB-c7T0i4FXJ/view?usp=drivesdk
	Muttabaq Lamb With Curry		60,000	https://drive.google.com/file/d/1ooytcS3UQFbMEZudJunJxEyuGK3S23sh/view?usp=drivesdk
	Muttabaq Chicken With Curry		50,000	
				
	Main Course			
	Chicken Kebuli Rice		50.000	https://drive.google.com/file/d/1f9ZnKIg-cd4Or3yB9txfxUfjlc9Lp_fx/view?usp=drivesdk
	Chicken Mandhi Rice		50.000	https://drive.google.com/file/d/1fLjUORTKk2Ggksf2vPq8VJ1Wj7Myj8lT/view?usp=drivesdk
	Biryani Chicken		50,000	https://drive.google.com/file/d/1h5ZTQWmQX2jITowj5uJs3-hkcR72maAP/view?usp=drivesdk
	Lamb Mandhi Rice		65,000	https://drive.google.com/file/d/1fU67p1ia5vhuk9kyElTdkp-SkICYRlFY/view?usp=drivesdk
	Lamb Kebuli Rice		65,000	
	1/4 Tandoori Chicken Mandhi Rice		55,000	https://drive.google.com/file/d/1HpTn73NhP-S6FEFJqMZQCQK28VYhZb_J/view?usp=drivesdk
	Fish Masalah		45,000	
	Fish Curry Dory		45,000	https://drive.google.com/file/d/12BLfMlZK4Q0xAzd4RlZIVR5Qj-xGAiQA/view?usp=drivesdk
	Samak Curry		40,000	https://drive.google.com/file/d/14QhGUimXs1GUPorXmiEYjze5UAaTlIGs/view?usp=drivesdk
	Yellow Dal		40,000	
	Chicken Kebuli Rice Set		60,000	https://drive.google.com/file/d/1eyFrB4KkbNb0QjsY06Mq4sarC6o5iX7R/view?usp=drivesdk
	Lamb Mandhi Rice Set		70,000	https://drive.google.com/file/d/1fU67p1ia5vhuk9kyElTdkp-SkICYRlFY/view?usp=drivesdk
	Lamb Kebuli Rice Set		70,000	
				
				
	Roti			
	Malabar Paratha		15,000	https://drive.google.com/file/d/1eck_ExPgx6JEAb59Sra2v6FFfzTsC5t5/view?usp=drivesdk
	Potato Kulcha		15,000	https://drive.google.com/file/d/1HXC6UfWDF9JF5le02Z3Gb_LVoeG4ORfy/view?usp=drivesdk
	Keema Kulcha		20,000	https://drive.google.com/file/d/1HYLH_UJXLsNuJAnNggP6gwYV_AB0S4hT/view?usp=drivesdk
				
	Rekomendasi Minuman			
	Es cream palooda		30,000	
				
	Dessert			
	Kurma Sahi		35,000	
