,Kimchi,,,
multiple,Sawi Putih,,"40,000/90,000",https://drive.google.com/file/d/1bjXGeoPM-ZkQjeGV8dNbn98x9U1hAl9p/view?usp=drivesdk
multiple,Sawi Asin,,"40,000/90,000",https://drive.google.com/file/d/1bVaK-vfC8njkQ-HI6wTqmNhU54X8_qyN/view?usp=drivesdk
multiple,Lobak Kimchi,,"40,000/90,000",https://drive.google.com/file/d/1c7EcLvZ5An6wwA6tw6lsiHpLezQ7yd70/view?usp=drivesdk
multiple,Timun Kimchi,,"40,000/90,000",https://drive.google.com/file/d/1c4IfWT_ryP8kar614da5YbnmRb5qWCgu/view?usp=drivesdk
,,,,
,APPETIZER,,,
,Kimbab,,"39,000",https://drive.google.com/file/d/1bXUahSyD4TxV0eSSvJoM357JfBMFpq6x/view?usp=drivesdk
,Dakkochi Chicken,,"35,000",https://drive.google.com/file/d/1bdLvur3k-SmsUvi5yZ4jrgH42LO1uQ0r/view?usp=drivesdk
,Lollipop Chicken,,"32,000",https://drive.google.com/file/d/1byusH2KSkJNdZkOgx0-F-q4uWinPGA--/view?usp=drivesdk
,Korean Fish Cake,,"35,000",
,,,,
,,,,
,Soup & Noodle,,,
,Kalbi Tang,,"  40,000 ",https://drive.google.com/file/d/1bzPf540BUF6c0fnVpEMt12qbafycKIJ0/view?usp=drivesdk
,Kali Tang Set,,"  37,500 ",
,Korean Chicken & Beef Rollade,,"48,000",
,Jjampong Spicy Seafood ,,"48,000",https://drive.google.com/file/d/1bZXRHxWujDQgWvT6VNLUe3IpjDkNRZah/view?usp=drivesdk
,,,,
,Bento Kombo Set,,,
,Chicken Lolipop Set,,"  55,000 ",https://drive.google.com/file/d/1byusH2KSkJNdZkOgx0-F-q4uWinPGA--/view?usp=drivesdk
,Beef Bulgogi Rice Set,,"  75,000 ",https://drive.google.com/file/d/1bo4sM6RxObgbXg6VuTHQP-9L3fT5H2nx/view?usp=drivesdk
,Beef Bim Bim Bap,,"  65,000 ",https://drive.google.com/file/d/1c6tVqPkUpO0r8S6ivjUksdGEyoIYOIYd/view?usp=drivesdk
,Jjapche Noodle,,"  75,000 ",https://drive.google.com/file/d/1iKcaV0kqNaK9PmvLquV5610zNh0XDRr_/view?usp=drivesdk
,Korean Kalbi Beef BBQ ,,"60,000",https://drive.google.com/file/d/1iLa8CYRewXOTT379fSsFP38GRmSXV4rO/view?usp=drivesdk
