,Soup,,,
,Miso Sup,,"30,000",
,Oden Sup,,"30,000",
,,,,
,Sushi Menu,,,
,California Roll,,"38,000",https://drive.google.com/file/d/1ckA5krTYYAPUmjQxKIM_62pPskaPDWIO/view?usp=drivesdk
,Kani Sesame Roll,,"38,000",
,Sushi Chicken Teriyaki Roll,,"35,000",https://drive.google.com/file/d/1d1Gdhr0nw7dTBAtqrmw-WHPCugmZUrdN/view?usp=drivesdk
,Dragon Roll,,"45,000",
,Tempura Sushi,,"38,000",
,,,,
,,,,
,Hot Appetizer,,,
,Sea Food Tempura,,"42,000",https://drive.google.com/file/d/1cQeHuer9P3VaWnrPLfIFYa4f9rbVrJBE/view?usp=drivesdk
,Vegetables Tempura,,"35,000",https://drive.google.com/file/d/1dChffPC1teZVvBptysMjyW1EyQJkFj3A/view?usp=drivesdk
,Oyster Mustroom Tempura,,"25,000",https://drive.google.com/file/d/1-DAfj6X2HXZoPdRSFSVfPQXVoZIgRA37/view?usp=drivesdk
,Chicken Wing Gingger Glazed,,"35,000",
,,,,
,Udon Menu,,,
,Beef Kare Udon Spicy,,"45,000",https://drive.google.com/file/d/1dQklhGY0uTThVLLBIizrHJVMq8KwL_Rs/view?usp=drivesdk
,Yaki Udon,,"39,000",
,Kaizen Udon,,"40,000",https://drive.google.com/file/d/1rpjx9ohi8wJ6uDr34TveKzVvyyIXzrq9/view?usp=drivesdk
,Yaki Udon Kombo Set,,"53,000",
,Kaizen Udon Kombo Set,,"55,000",https://drive.google.com/file/d/1rqXXoery-k1KgiQHj6q1M8g4Luubh09e/view?usp=drivesdk
,,,,
,Bento Box Set,,,
,Beef Yakiniku Set,,"45,000",https://drive.google.com/file/d/1dICYL4jAy6ifVbHq8U1SZENbj-D2BPcF/view?usp=drivesdk
,Chicken Yakiniku Set,,"40,000",https://drive.google.com/file/d/1Ou5nYyykbE0EWfE_7EkAfjzDxeVyawrv/view?usp=drivesdk
,Beef Teriyaki Set,,"46,000",https://drive.google.com/file/d/1N2xhbqL8Ri6s0B3w7fpENKDKI_1v-_HM/view?usp=drivesdk
,Chicken Teriyaki Set,,"40,000",https://drive.google.com/file/d/1csNipjlBaeljUI_p6vTwUJ8uHgnwSqw_/view?usp=drivesdk
,Chicken Karage Set,,"40,000",https://drive.google.com/file/d/1dHfoGk0j4rXZhkpRUGAQOudwm9ViqJEf/view?usp=drivesdk
,Chicken Katsu Set,,"42,000",https://drive.google.com/file/d/1cMDigg6BUMh182EqFeOW5I0CrGGZKUdN/view?usp=drivesdk
,Chicken Wings Ginger Glazed Set,,"42,000",https://drive.google.com/file/d/1dKpEtRDea2NHVoNzG8oK38kRNTWuopnj/view?usp=drivesdk
,,,,
,Dessert,,,
multiline,"Japanese Pancake
- Banana
- Strawbery",,"30,000",
